TESTACC,TS-CHIEF,HIVE-COTE v1.0,ROCKET,InceptionTime,STC,ResNet,ProximityForest,WEASEL,S-BOSS,cBOSS,BOSS,RISE,TSF,Catch22,Nasz – max,Nasz – avg,Nasz,Nasz,Nasz,Nasz,Nasz
ACSF1,0.807,0.85,0.807,0.826666666666666,0.838333333333333,0.824,0.638333333333333,0.818,0.815,0.757333333333333,0.768333333333333,0.76,0.635,0.777666666666667,0.52173912525177,0.339130434393883,0.347826093435287,0.260869562625885,0.173913046717644,0.391304343938828,0.52173912525177
Adiac,0.779710144927536,0.796248934356351,0.771952259164535,0.822080136402387,0.793179880647911,0.815430520034101,0.722165387894288,0.798806479113385,0.742710997442455,0.746291560102302,0.749019607843137,0.757971014492753,0.711935208866155,0.684654731457801,0.432291656732559,0.401041662693024,0.369791656732559,0.411458343267441,0.40625,0.385416656732559,0.432291656732559
ArrowHead,0.881142857142857,0.876,0.859047619047619,0.880380952380952,0.806666666666666,0.858666666666666,0.883619047619048,0.848380952380952,0.887809523809524,0.877904761904762,0.868761904761905,0.828190476190476,0.796761904761905,0.750285714285714,0.727272748947144,0.587878793478012,0.636363625526428,0.666666686534882,0.727272748947144,0.575757563114166,0.333333343267441
Beef,0.632222222222222,0.735555555555556,0.76,0.682222222222222,0.735555555555555,0.676666666666667,0.594444444444444,0.74,0.655555555555555,0.571111111111111,0.612222222222222,0.742222222222222,0.688888888888889,0.473333333333333,0.75,0.45,0.125,0.625,0.25,0.75,0.5
BeetleFly,0.958333333333333,0.963333333333333,0.885,0.893333333333333,0.933333333333333,0.853333333333333,0.86,0.886666666666666,0.936666666666667,0.975,0.943333333333333,0.871666666666667,0.833333333333333,0.84,0.800000011920929,0.48000001013279,0.200000002980232,0.400000005960465,0.400000005960465,0.600000023841858,0.800000011920929
BirdChicken,0.963333333333333,0.94,0.881666666666666,0.951666666666667,0.87,0.945,0.903333333333333,0.865,0.968333333333333,0.976666666666667,0.983333333333333,0.868333333333333,0.815,0.893333333333333,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929
BME,0.996444444444444,0.982222222222222,0.997333333333333,0.996444444444444,0.929777777777778,0.999111111111111,0.999111111111111,0.947777777777778,0.865111111111111,0.784666666666667,0.865777777777778,0.786,0.962444444444445,0.904888888888889,0.976744174957275,0.916279065608978,0.883720934391022,0.883720934391022,0.976744174957275,0.953488349914551,0.883720934391022
Car,0.878888888888889,0.868888888888889,0.911666666666667,0.901111111111111,0.858333333333333,0.908333333333334,0.805555555555556,0.834444444444445,0.859444444444444,0.843333333333333,0.848333333333333,0.753333333333334,0.766111111111111,0.746111111111111,0.607142865657806,0.571428573131561,0.535714268684387,0.607142865657806,0.607142865657806,0.607142865657806,0.5
CBF,0.998444444444444,0.998259259259259,0.995925925925926,0.996111111111111,0.985296296296296,0.988222222222222,0.993629629629629,0.979777777777777,0.999074074074074,0.99837037037037,0.998925925925926,0.949037037037037,0.971851851851852,0.953666666666667,1,0.988646280765533,0.978165924549103,1,0.991266369819641,0.986899554729462,0.986899554729462
Chinatown,0.96183574879227,0.962779397473275,0.966861030126336,0.964820213799806,0.962973760932944,0.970144927536232,0.948019323671497,0.957337220602527,0.87910592808552,0.947632850241546,0.877065111758989,0.888532555879495,0.952964042759961,0.934492753623188,0.820224702358246,0.777528083324432,0.808988749980927,0.741573035717011,0.775280892848969,0.741573035717011,0.820224702358246
